time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
3.611,-0.32,-0.03,0.94,0.00,-0.01,0.00,0.00,-0.00,-0.00,0.00
3.718,-0.32,-0.03,0.94,0.00,-0.01,0.00,0.00,-0.00,-0.00,0.00
3.722,-0.32,-0.03,0.94,0.00,-0.01,0.00,0.00,0.00,-0.00,0.00
3.724,-0.32,-0.03,0.94,0.00,0.00,0.00,0.00,0.00,-0.00,0.00
3.777,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
3.779,-0.32,-0.03,0.94,-0.00,-0.00,0.01,-0.00,-0.00,-0.00,0.00
3.78,-0.32,-0.03,0.94,-0.00,-0.00,0.01,-0.00,-0.00,-0.00,0.00
3.838,-0.32,-0.03,0.94,-0.00,-0.00,0.01,-0.00,-0.00,-0.00,0.00
3.84,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00
3.841,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
3.897,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
3.899,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
3.899,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.956,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.959,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.96,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.017,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.02,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.021,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.076,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
